"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mocker enabled + sweep mode Rapid is fine.","0","test_mocker_enabled_sweep_rapid_passes","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidateDgdrDynamoFeatures","test_helpers_profile_sla","",""
"THOROUGH + 'auto' backend is rejected.","0","test_thorough_auto_backend_raises","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestValidDgdrSpec","test_helpers_profile_sla","",""
"","0","test_add_component_component_not_found","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"Test get_gpu_counts with require_prefill=False","1","test_get_gpu_counts_decode_only","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kubernetes_connector","",""
"Swapping order of three distinct images should result in near-zero overlap.","9984","test_trtllm_mm_overlap_swapped_order_less_than_same_order","tests.mm_router","2026-04-06","passed","2026-04-06","","test_mm_router_e2e","",""
"Config.validate fails if multiple connectors are provided.","1","test_config_multiple_connectors_fails","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","","test_trtllm_unit","",""
"Test decode-only mode doesn't require prefill GPU flag","0","test_virtual_mode_decode_only_no_prefill_error","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestInitializeGpuCounts","test_sla_planner_scaling","",""
"Test extracting text from a user message with multiple text content items.","0","test_extract_user_text_multiple_text_parts","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_chat_message_utils","",""
"Test _uses_nixl_connector for direct, nested-in-PdConnector, and absent cases.","0","test_uses_nixl_connector_direct_and_nested","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_unit","",""
"","0","test_none_dgd_config_passes_through_as_none","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","TestAssembleFinalConfig","test_helpers_profile_sla","",""
"No-cache path: DisaggregatedParams passed as ep_params.","2","test_disaggregated_params_passed_to_generate_locally","components.src.dynamo.trtllm.tests.request_handlers","2026-04-06","passed","2026-04-06","TestAggregatedHandlerGenerate","test_trtllm_aggregated_handler","",""
"run_profile must apply DGD overrides to dgd_config before run_interpolation.

    Regression guard for TC-5.2a: without the fix, interpolation pods were
    deployed without extraPodSpec.tolerations, causing them to stay Pending on
    GPU nodes with nvidia.com/gpu:NoSchedule taints.
    ","148","test_run_profile_applies_dgd_overrides_before_interpolation","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","","test_profiler_protocol","",""
"parse_args returns a Config instance with model, component, and endpoint set.","1","test_parse_args_returns_config_with_expected_attrs","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","","test_trtllm_unit","",""
"Test when availableReplicas is explicitly 0 (should use 0, not fall back to ready)","0","test_get_service_replica_status_available_replicas_zero","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kube","",""
"Test that missing prefill GPU flag raises error in virtual mode","0","test_virtual_mode_missing_prefill_raises_error","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestInitializeGpuCounts","test_sla_planner_scaling","",""
"","0","test_no_outputs_returns_error","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestTextFormatter","test_output_formatter","",""
